Week Ending,LineOfBusiness,Type,Prod,Sub Prod,Balance,Accounts,HIER1_CORP_ID,Group,Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Flexi Business Vault,,212653259,1004,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Flexi Business Vault,,1635180109,6447,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Flexi Business Vault,,130505364,1060,GEOGRAPHY,Coastal Prime Group,SunCoast Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Flexi Business Vault,,73737312,727,GEOGRAPHY,Atlantic Growth Collective,Atlantic Ridge Mid Market
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Secure Growth Certificate,,12118982,27,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Secure Growth Certificate,,61552364,15,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Secure Growth Certificate,,16846098,33,GEOGRAPHY,Coastal Prime Group,SunCoast Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Secure Growth Certificate,,1317692,6,GEOGRAPHY,Atlantic Growth Collective,Atlantic Ridge Mid Market
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Everyday Access Account,,5548798,97,GEOGRAPHY,Horizon Core Group,Coreland Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Everyday Access Account,,12703588,135,GEOGRAPHY,Apex Corporate Cluster,Pinnacle Corporate Zone
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Everyday Access Account,,3903440,100,GEOGRAPHY,Coastal Prime Group,SunCoast Mid Market Region
02-Jan-22,Apex Corporate Division,Enterprise Growth Unit,Everyday Access Account,,3745626,102,GEOGRAPHY,Atlantic Growth Collective,Atlantic Ridge Mid Market
